ACCESS.negrisk,MRI.negrisk,GFDL.negrisk,IPSL.negrisk,MIROC5.negrisk,RoadPercentile
0.26693227091633465,0.3912087912087912,0.38961038961038963,0.3819444444444444,0.27340823970037453,0
0.2908366533864542,0.4021978021978022,0.4393939393939394,0.4027777777777778,0.30337078651685395,0.1
0.23904382470119523,0.36923076923076925,0.3961038961038961,0.3587962962962963,0.23220973782771537,0.2
0.23904382470119523,0.35384615384615387,0.37662337662337664,0.35648148148148145,0.22846441947565543,0.30000000000000004
0.2151394422310757,0.3230769230769231,0.3246753246753247,0.3449074074074074,0.22846441947565543,0.4
0.24701195219123506,0.36923076923076925,0.37012987012987014,0.3587962962962963,0.25842696629213485,0.5
0.23904382470119523,0.3758241758241758,0.354978354978355,0.3680555555555556,0.26217228464419473,0.6000000000000001
0.20318725099601595,0.35384615384615387,0.3333333333333333,0.3425925925925926,0.2247191011235955,0.7000000000000001
0.2151394422310757,0.3648351648351648,0.3484848484848485,0.3587962962962963,0.2397003745318352,0.8
0.17928286852589642,0.32967032967032966,0.30735930735930733,0.33101851851851855,0.19101123595505617,0.9
0.24701195219123506,0.3978021978021978,0.3917748917748918,0.38657407407407407,0.26591760299625467,1
